gsm 1.0.19-1
gssdp 1.2.3-1
gst-plugin-pipewire 0.3.18-1
gst-plugins-bad 1.18.2-1
gst-plugins-bad-libs 1.18.2-1
gst-plugins-base 1.18.2-1
gst-plugins-base-libs 1.18.2-1
gst-plugins-good 1.18.2-1
gstreamer 1.18.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:3.24.24-1
gtk2 2.24.33-1
gtk2-perl 1.24993-2
gtk3 1:3.24.24-1
gtkglext 1.2.0-12
gtkmm 1:2.24.5-4
gtkmm3 3.24.3-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
guile 2.2.6-2
gupnp 1.2.4-1
gupnp-igd 1.2.0-1
gvfs 1.46.1-1
gvfs-mtp 1.46.1-1
gzip 1.10-3
hakuneko-desktop 6.1.7-1
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
heroku-cli 7.46.0-2
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hspell 1.4-3
htop 3.0.4-1
httrack 3.49.2-3
hunspell 1.7.0-3
hwids 20200813.1-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3-wm 4.19-1
i3blocks 1.5-3
iana-etc 20201012-1
icu 68.2-1
ijs 0.35-3
imagemagick 7.0.10.53-1
imlib2 1.7.1-1
inetutils 1.9.4-8
inkscape 1.0.1-3
iproute2 5.10.0-2
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
iw 5.9-1
iwd 1.10-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.19-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.8.u10-1
jdk8-openjdk 8.u275-1
jemalloc 1:5.2.1-3
jetbrains-toolbox 1.17.7139-1
jp2a 1.1.0-1
jre-openjdk 14.0.2.u12-1
jre-openjdk-headless 14.0.2.u12-1
jre11-openjdk 11.0.8.u10-1
jre11-openjdk-headless 11.0.8.u10-1
jre8-openjdk 8.u275-1
jre8-openjdk-headless 8.u275-1
js60 60.9.0-2
js68 68.12.0-1
js78 78.6.0-1
jshon 20131105-4
json-c 0.15-1
